id	title	orig_title	author	language	published	avg_rating	ratings_count	review_count	genre_1	genre_2	genre_2	to_read	currently_reading	favorites
5556554	Canadian Content In The 21st Century In Film And Television Productions: A Matter Of Cultural Identity	Canadian Content in the 21st Century in Film and Television Productions: A Matter of Cultural Identity	Francois N. Macerola	2003-01-01	English	0.0	0	0						
25353377	Talking About Troubles in Conversation		Gail Jefferson	2015-04-08	English	0.0	0	0						
21058764	A Tale in a Pail		Jeannie Sadler	2001-01-01		0.0	0	0						
20014078	Georgia Peaches		Ola Vay	2001-04-23	English	0.0	0	0						
13266789	Harry Potter - Medicine: Ailments, Medical Facilities, Medical Magic, Medications, Physicians, Acne, Allergy, Chicken Pox, Dragon Pox, Flu, Heartburn, Loser's Lurgy, Lumbago, Mumblemumps, Portkey-Sickness, Pus, Rheumatism, Scale Rot		Source Wikipedia	2011-11-04	English	0.0	0	0						
32531856	The Story of the Liberty Bell		Wayne 1856-1942 Whipple	2016-08-28		0.0	0	0						
21835648	Running the Table The Story of Tama Thunder		Jackie Shirley	2011-03-03		5.0	1	0						
33037075	Dynamics of Production in the Ancient Near East		Universit E Charles De Gaulle-Lille III	2016-10-01		0.0	0	0						
14423513	The Broken Hearted Saviour		J.P. Walls	2012-02-21	English	0.0	0	0						
29941726	LAÇOS DE AMOR - O RECOMEÇO DE UM HOMEM		Dudaah Fonseca	2016-04-09	English	3.0	1	0						
8293068	No One Heard Her Scream	No One Heard Her Scream	Jordan Dane	2008-05-25	English	3.55	630	83	Romance	Romantic Suspense	Suspense	552	21	2
31890250	The Life of a Collegian		Life	2016-05-21		0.0	0	0						
17409730	Epigrammi	Epigrammata	Marcus Valerius Martialis	1980-10-31	Italian	4.02	501	25	Classics	Poetry	Literature	132		2
31316989	Theory and Practice of Therapeutic Massage		Mark F Beck	2010-04-01		0.0	0	0						
27831170	The Last Thing I'd Ever Do: My Family's Adventure into Faith and Missions		Peter Jordan	2010-11-01	English	4.25	4	2						
16720336	Void & Sky		Kyle Hemmings	2012-12-01	English	4.5	2	0						
21237795	Become a Fitness Instructor Now!		Justin Kompf	2013-06-06	English	0.0	0	0						
15671217	Olimpinio Sajudzio Lietuvoje Istakos, Raida, Problemos: Lietuvos Olimpines Akademijos Sesijos Medziaga		Lietuvos Tautinis Olimpinis Komitetas		Lithuanian	0.0	0	0						
11723419	I Love Yoga: A Source Book for Teens		Ben Hodson	2003-05-31		3.33	9	1						
20014537	Annie Times Four		Flora Milyn	2011-02-18	English	3.0	1	0						
33103282	The Floral World and Garden Guide, 1866		Shirley Hibberd	2016-11-15		0.0	0	0						
35292525	Benden Vazgeçme Ya Rab		Mehmet Yıldız	2017-03-31	Turkish	4.5	4	1						
32201690	Dementia and Human Rights		Suzanne Cahill			0.0	0	0						
26475563	On the Pampas; Or, the Young Settlers	Out on the Pampas	G.A. Henty	1870-10-31		3.6	110	5						
22252822	Search Engine Visibility, Second Edition		Shari Thurow	2007-08-29		0.0	0	0						
14922804	A Breeder's Guide to Genetics: Relax, It's Not Rocket Science		Ingrid Wood	2004-10-31	English	4.0	2	1						
12797077	Rainie Knights		Melody Muckenfuss	2011-08-16	English	4.5	4	1						
24196086	ASEAN Economic Cooperation and Integration		Siow Yue Chia	2015-03-31		0.0	0	0						
23838799	Masada's Marine: The Story of a Service Dog and her Wounded Marine Warrior		Judy  Howard	2014-06-06	English	4.83	6	0						
34023509	Complete Lithuanian: Teach Yourself		Meilutė Ramonienė	2010-12-31		3.0	2	0						
21640230	Suffocate	Suffocate	S.R. Johannes	2012-05-16		3.69	141	37						
27932488	Miranda		Edward James Mortimer Collins	2015-09-19		0.0	0	0						
17118502	Contemporary Issues of Care		Roberta R Greene	2012-11-12		0.0	0	0						
29591365	The Case for the Factory Acts		Beatrice Potter Webb	2013-04-02		0.0	0	0						
29595848	Well-Crafted Sentence 2e & I-Cite		Nora Bacon	2012-12-02		0.0	0	0						
31468821	Sketches of Her Majesty's Household: Forming a Guide to Situations in the Sovereign's Domestic Establishment		Tomsett Jasper	2016-05-21		0.0	0	0						
26649933	The Stories Polly Pepper Told to the Five Little Peppers in the Little Brown House	The Stories Polly Pepper Told To The Five Little Peppers In The Little Brown House	Margaret Sidney	1899-10-31		4.15	47	4						
3378718	Animal Diversity: Course C	Animal Diversity: Course C (Glencoe Science)	Science Research Associates	2001-05-01		0.0	0	0						
27714840	Writing the Photoplay		J. Berg Esenwein	1913-10-31		0.0	0	0						
20933190	Surprise Endings		A Bunch of Fools and Rejects	2012-12-31		0.0	0	0						
35475407	Le Ode del Signor Co. Carlo Di Dottori: In Questa Quarta Impressione Da Lui Rivedute, Scelte, Accresciute, E Divise in Eroiche, Funebri, Amorose, Morali, E Sacre		Carlo de' Dottori	2017-06-17		0.0	0	0						
35348429	Sixty Folk-Tales from Exclusively Slavonic Sources		Albert Henry Wratislaw	2006-10-18		4.25	8	2						
14584400	Thermoplastics and Thermoplastic Composites		Michel Biron	2012-10-01	English	0.0	0	0						
7705629	Blutige Tränen	Sleep Tight	Anne Frasier	2003-04-30		4.02	3025	162	Mystery	Suspense	Fiction	591	342	3
33808079	Der Tunnel: Mutige Männer, verliebte Frauen und einer, der sie verrät		Peter Stieglitz	2017-01-05	English	3.6	5	0						
8789897	Ond saga	Ond saga (Legenden om Ljusets rike, #13)	Margit Sandemo	1998-10-31	Norwegian	3.62	183	0						
18162066	Bellini e o Demônio		Tony Bellotto	1997-12-09	Portuguese	3.79	14	1						
22452415	Of Murder and Monsters		R.Q. Garcia	2014-05-25	English	3.38	8	2						
25979629	The Secret History of the Great Dictators: Idi Amin & Emperor Bokassa I		Diane Law	2011-08-01	English	3.71	14	0						
27275460	1000+ Exercises English - Hmong		Gilad Soffer	2014-09-07	English	0.0	0	0						
9520986	Showdown at Juniper Pass		Kent Conwell	2010-07-27	English	4.5	4	0						
30220345	Aziz, the Harem Master and the Emperor's Wife		Andrew H Jones	2016-05-10	English	0.0	0	0						
36001182	Piazza della libertà - Storia di un cambio di generazione		Francesco Rutelli	1996-08-31	Italian	2.0	1	0						
1512796	Rock and Roll: Proceed with Caution	Rock and Roll: Proceed with Caution	J. Brent Bill	1984-10-31		5.0	2	0						
29430167	le Jeu de la Nudité		NUMA MANN	2013-12-13	English	0.0	0	0						
22013152	Los Porfiricos y Otros Cuentos Hipocraticos		Victor Torres	2001-01-01	English	0.0	0	0						
23024297	Ecologies of the Heart: Emotion, Belief, and the Environment		E.N. Andersen	2014-05-14		0.0	0	0						
6945583	Glory Train		Mike Blakley	1996-10-31	English	0.0	0	0						
2356437	The Secret of St. Joseph: What You Need to Know About St. Joseph and Why You Must Imitate Him	The Secret of St. Joseph: What You Need to Know About St. Joseph and Why You Must Imitate Him	Alban Goodier	2002-04-01		0.0	0	0						
20047814	My Brother The Ghost		Vaso Nagl	2008-03-02	English	0.0	0	0						
26255030	niidumanositagisugata hati sitagisityakusituhen		isoroku	2015-09-07	English	0.0	0	0						
18685081	Die Apfelrose		Birgit Hermann	2005-10-31	German	5.0	1	1						
33869073	REVISE Edexcel Functional Skills Mathematics Level 2 Revision Guide		Ms Sharon Bolger	2016-12-05	English	4.0	1	0						
3959346	Pictures of Tyneside: or, Life and scenery on the River Tyne, circa 1830	Pictures of Tyneside;: Or, Life and scenery on the River Tyne, circa 1830	Mark Lambert	1969-10-31		0.0	0	0						
30017724	Charting the Course, C Book 1		Ryan Fraley	2016-04-18		0.0	0	0						
35146214	The Works of Frederick Schiller: Historical and Dramatic; History of the Revolt of the Netherlands, Continued, Trials of Counts Egmont and Horn; Wallenstein and Wilhelm Tell, Historical Dramas		Friedrich Schiller	2017-05-13		0.0	0	0						
22293674	La Amistad En El Carisma de Carlos de Foucauld		J L Vazquez Borau	2014-03-23		0.0	0	0						
35062417	Monte d'Oro / Monte Rotondo / PNR de Corse gps : IGN.4251OT		Institut Géographique National	2013-04-25		0.0	0	0						
26004504	Villimpi Pohjola: Valomerkki		J.P. Ahonen	2015-07-27	Finnish	4.19	94	18						
1162516	Roadside History of Nebraska		Candy Moulton	1997-09-01		4.0	4	0						
34048411	The Canadian Almanac, and Repository of Useful Knowledge, for the Year 1869: Being the First After Leap Year, Containing Full and Authentic Commercial, Statistical, Astronomical, Departmental, Ecclesiastical, Educational, Financial, and General Informatio		Unknown	2017-01-25		0.0	0	0						
14971410	Santa Bear		Marcia Leonard	1989-04-01	English	0.0	0	0						
4208850	Fleet Management and Logistics	Fleet Management and Logistics (Center for Research on Transportation 25th Anniversary Series, 1971-1996)	Teodor Gabriel Crainic	1998-06-30	English	0.0	0	0						
29789810	Soup & Souping: The Essential Soup Recipes And Cookbook: Delicious Soup And Souping Recipes For body Cleanse, Detox, Diet, Weight Loss And Improve Health		Laurent Green	2016-03-29	English	3.0	2	0						
25061083	La mémoire de l'eau	La Mémoire de l'Eau	Valérie Vernay	2012-04-05	French	3.65	123	56						
28961834	Connect Access Card for Environmental Geology		Carla W. Montgomery	2013-02-13	English	0.0	0	0						
27419994	โดมิโน		วิสิทธิ์ โพ	2007-06-01	Thai	4.0	2	1						
33619220	Cambia Lavoro, Cambia Vita!: Da segretaria frustrata a imprenditrice felice		Mary Tomasso	2015-12-20	English	0.0	0	0						
9627547	Finding Laura	Finding Laura	Kay Hooper	1997-10-31	English	3.87	1965	72	Romance	Mystery	Fiction	571	15	6
7962713	Communication	Communication	L. Ron Hubbard	1994-06-01	English	3.85	20	1						
7114962	The Gabbitas Guide to Independent Schools		Gabbitas Educational Consultants	1996-01-31		0.0	0	0						
35907329	FREEDOM		Victoria Rose	2016-12-19		0.0	0	0						
36160309	Jump Cut: A Novel		Robert R. Irvine	2013-06-01		0.0	0	0						
2481662	Basic Principles Of Political Decentralisation To Local Authorities	Basic principles of political decentralisation to local authorities (University series)	Robert L. Bish			0.0	0	0						
26826818	Happiness Handbook: Being Present Is The Present		Phillip Elton Collins	2013-12-17	English	5.0	3	0						
28140801	Der Koheletkommentar Des Hieronymus: Einleitung, Revidierter Text, Ubersetzung Und Kommentierung		Hieronymus	2014-10-10		0.0	0	0						
36457345	My Stepbrother Military Man		Suzette Valdez	2017-10-15		2.5	2	0						
27361002	Semi-Centennial Memorial, 1834-1884 ...: And Minutes of Proceedings for the Year 1884, with an Enrollment of the Names of Contributors ... Also Plan of Systematic Benevolence		Baptists Missouri General Association	2015-09-08		0.0	0	0						
23363780	The Rise and Fall of the Well-Made Play		John Russell Taylor	1967-06-30		4.5	2	0						
1658679	Horse Play	Horse Play	Bonnie Bryant	1989-01-01	English	3.69	475	6	Animals	Horses	Childrens	165	1	1
4510668	Advanced Research in VLSI: Proceedings of the Fifth Mit Conference	Advanced Research in VLSI: Proceedings of the 5th MIT Conference	Jonathan      Allen	1988-03-24	English	0.0	0	0						
16451776	Fifth Air Force		Jesse Russell	2012-01-15		0.0	0	0						
10792754	Smart Love; Jurus Jitu Mengelola Cinta		Kusmarwanti M. Idham			3.5	2	0						
15023180	The Western World; Or, Travels in the United States in 1846-47: Vol. 2; Exhibiting Them in Their Latest Development, Social, Political and Industrial: Including a Chapter on California		Alexander MacKay	1970-01-31	English	0.0	0	0						
30820009	Suizidales Verhalten und nichtsuizidale Selbstverletzungen		Paul L Plener	2014-11-07	English	0.0	0	0						
5121953	My Tanganyika Service & Some	My Tanganyika Service and Some Nigeria	Donald Cameron	1982-09-23	English	0.0	0	0						
16945820	The Foreign Film Renaissance on American Screens, 1946 - 1973		Tino Balio	2010-11-05		3.67	9	1						
30906640	Blood-Pressure from the Clinical Standpoint		Francis Ashley Faught	2010-03-01		0.0	0	0						
